Transition, Time (secs), Satisfiable
transition__S02__a__S01__mediante_met_makeOffer,0.593,false
transition__S04__a__S01__mediante_met_makeOffer,0.594,false
transition__S00__a__S01__mediante_met_constructor,0.79,true
transition__S02__a__S02__mediante_met_makeOffer,0.3,false
transition__S04__a__S02__mediante_met_makeOffer,0.32,false
transition__S00__a__S02__mediante_met_constructor,0.289,false
transition__S02__a__S03__mediante_met_makeOffer,0.275,false
transition__S04__a__S03__mediante_met_makeOffer,0.362,false
transition__S00__a__S03__mediante_met_constructor,0.264,false
transition__S02__a__S04__mediante_met_makeOffer,0.358,false
transition__S04__a__S04__mediante_met_makeOffer,0.298,false
transition__S00__a__S04__mediante_met_constructor,0.31,false
transition__S03__a__S01__mediante_met_makeOffer,0.436,false
transition__S04__a__S01__mediante_met_terminate,0.389,false
transition__S01__a__S01__mediante_met_makeOffer,0.347,false
transition__S04__a__S02__mediante_met_terminate,0.283,false
transition__S03__a__S02__mediante_met_makeOffer,0.297,false
transition__S04__a__S03__mediante_met_terminate,0.21,false
transition__S03__a__S03__mediante_met_makeOffer,0.245,false
transition__S04__a__S04__mediante_met_terminate,0.3,false
transition__S03__a__S04__mediante_met_makeOffer,0.283,false
transition__S01__a__S02__mediante_met_makeOffer,0.922,true
transition__S04__a__S01__mediante_met_accept,0.235,false
transition__S02__a__S01__mediante_met_terminate,0.339,false
transition__S01__a__S03__mediante_met_makeOffer,0.342,false
transition__S04__a__S02__mediante_met_accept,0.294,false
transition__S02__a__S02__mediante_met_terminate,0.268,false
transition__S04__a__S03__mediante_met_accept,0.366,false
transition__S01__a__S04__mediante_met_makeOffer,0.395,false
transition__S02__a__S03__mediante_met_terminate,0.353,false
transition__S01__a__S01__mediante_met_terminate,0.238,false
transition__S04__a__S04__mediante_met_accept,0.247,false
transition__S01__a__S02__mediante_met_terminate,0.226,false
transition__S02__a__S04__mediante_met_terminate,0.419,true
transition__S01__a__S03__mediante_met_terminate,0.172,false
transition__S03__a__S01__mediante_met_terminate,0.201,false
transition__S03__a__S02__mediante_met_terminate,0.176,false
transition__S01__a__S04__mediante_met_terminate,0.333,true
transition__S03__a__S03__mediante_met_terminate,0.231,false
transition__S01__a__S01__mediante_met_accept,0.237,false
transition__S03__a__S04__mediante_met_terminate,0.225,false
transition__S01__a__S02__mediante_met_accept,0.228,false
transition__S02__a__S01__mediante_met_accept,0.262,false
transition__S01__a__S03__mediante_met_accept,0.28,false
transition__S02__a__S02__mediante_met_accept,0.237,false
transition__S01__a__S04__mediante_met_accept,0.195,false
transition__S02__a__S03__mediante_met_accept,0.332,true
transition__S02__a__S04__mediante_met_accept,0.148,false
transition__S03__a__S01__mediante_met_accept,0.202,false
transition__S03__a__S02__mediante_met_accept,0.135,false
transition__S03__a__S03__mediante_met_accept,0.226,false
transition__S03__a__S04__mediante_met_accept,0.196,false

