Transition, Time (secs), Satisfiable
blue_transition__S02__a__S10__mediante_met_terminate,0.265,false
blue_transition__S06__a__S10__mediante_met_terminate,0.19,false
blue_transition__S02__a__S03__mediante_met_acceptOffer,0.379,false
blue_transition__S07__a__S09__mediante_met_accept,0.18,false
blue_transition__S08__a__S09__mediante_met_accept,0.136,false
blue_transition__S01__a__S01__mediante_met_modify,1.576,false
blue_transition__S03__a__S10__mediante_met_terminate,0.077,false
blue_transition__S06__a__S01__mediante_met_rescindOffer,0.057,false
blue_transition__S06__a__S07__mediante_met_accept,0.181,false
blue_transition__S06__a__S08__mediante_met_accept,0.167,false
blue_transition__S03__a__S05__mediante_met_markAppraised,0.106,false
blue_transition__S08__a__S10__mediante_met_terminate,0.107,false
blue_transition__S04__a__S01__mediante_met_rescindOffer,0.046,false
blue_transition__S02__a__S02__mediante_met_modifyOffer,-1.0,false
blue_transition__S02__a__S02__mediante_met_modifyOffer,599.928,false
blue_transition__S03__a__S04__mediante_met_markInspected,0.165,false
blue_transition__S05__a__S06__mediante_met_markInspected,0.146,false
blue_transition__S04__a__S06__mediante_met_markAppraised,0.188,false
blue_transition__S04__a__S10__mediante_met_terminate,0.178,false
blue_transition__S05__a__S10__mediante_met_terminate,0.141,false
blue_transition__S01__a__S10__mediante_met_terminate,0.093,false
blue_transition__S03__a__S01__mediante_met_rescindOffer,0.07,false
blue_transition__S07__a__S01__mediante_met_rescindOffer,0.081,false
blue_transition__S02__a__S01__mediante_met_rescindOffer,0.064,false
blue_transition__S01__a__S02__mediante_met_makeOffer,126.9,false
blue_transition__S05__a__S01__mediante_met_rescindOffer,0.078,false
blue_transition__S00__a__S01__mediante_met_constructor,1.854,false

