Transition, Time (secs), Satisfiable
blue_transition__S02__a__S10__mediante_met_terminate,0.231,false
blue_transition__S08__a__S10__mediante_met_terminate,0.206,false
blue_transition__S08__a__S01__mediante_met_reject,0.259,false
blue_transition__S06__a__S10__mediante_met_terminate,0.16,false
blue_transition__S08__a__S09__mediante_met_accept,0.279,false
blue_transition__S02__a__S01__mediante_met_rescindOffer,0.135,false
blue_transition__S01__a__S10__mediante_met_terminate,0.14,false
blue_transition__S02__a__S03__mediante_met_acceptOffer,0.106,false
blue_transition__S05__a__S06__mediante_met_markInspected,0.15,false
blue_transition__S03__a__S10__mediante_met_terminate,0.105,false
blue_transition__S01__a__S01__mediante_met_modify,1.278,false
blue_transition__S06__a__S01__mediante_met_reject,0.214,false
blue_transition__S03__a__S04__mediante_met_markInspected,0.245,false
blue_transition__S03__a__S05__mediante_met_markAppraised,0.219,false
blue_transition__S06__a__S01__mediante_met_rescindOffer,0.096,false
blue_transition__S04__a__S01__mediante_met_reject,0.189,false
blue_transition__S05__a__S01__mediante_met_rescindOffer,0.086,false
blue_transition__S04__a__S01__mediante_met_rescindOffer,0.083,false
blue_transition__S02__a__S02__mediante_met_modifyOffer,-1.0,false
blue_transition__S02__a__S02__mediante_met_modifyOffer,599.956,false
blue_transition__S07__a__S09__mediante_met_accept,0.179,false
blue_transition__S04__a__S06__mediante_met_markAppraised,0.274,false
blue_transition__S02__a__S01__mediante_met_reject,0.217,false
blue_transition__S05__a__S01__mediante_met_reject,0.18,false
blue_transition__S04__a__S10__mediante_met_terminate,0.101,false
blue_transition__S05__a__S10__mediante_met_terminate,0.118,false
blue_transition__S03__a__S01__mediante_met_rescindOffer,0.137,false
blue_transition__S06__a__S07__mediante_met_accept,0.399,false
blue_transition__S06__a__S08__mediante_met_accept,0.38,false
blue_transition__S07__a__S01__mediante_met_rescindOffer,0.137,false
blue_transition__S03__a__S01__mediante_met_reject,0.197,false
blue_transition__S01__a__S02__mediante_met_makeOffer,166.326,false
blue_transition__S00__a__S01__mediante_met_constructor,1.428,false

