Transition, Time (secs), Satisfiable
transition__S01__a__S01__mediante_met_makeOffer,0.321,false
transition__S03__a__S01__mediante_met_makeOffer,0.331,false
transition__S02__a__S01__mediante_met_makeOffer,0.352,false
transition__S00__a__S01__mediante_met_constructor,0.367,true
transition__S03__a__S02__mediante_met_makeOffer,0.065,false
transition__S02__a__S02__mediante_met_makeOffer,0.07,false
transition__S02__a__S03__mediante_met_makeOffer,0.053,false
transition__S03__a__S03__mediante_met_makeOffer,0.053,false
transition__S00__a__S02__mediante_met_constructor,0.055,false
transition__S01__a__S02__mediante_met_makeOffer,0.157,true
transition__S03__a__S01__mediante_met_reject,0.043,false
transition__S00__a__S03__mediante_met_constructor,0.049,false
transition__S03__a__S02__mediante_met_reject,0.031,false
transition__S02__a__S01__mediante_met_reject,0.094,true
transition__S01__a__S03__mediante_met_makeOffer,0.076,false
transition__S02__a__S02__mediante_met_reject,0.023,false
transition__S03__a__S03__mediante_met_reject,0.046,false
transition__S01__a__S01__mediante_met_reject,0.06,false
transition__S03__a__S01__mediante_met_acceptOffer,0.041,false
transition__S02__a__S03__mediante_met_reject,0.051,false
transition__S01__a__S02__mediante_met_reject,0.025,false
transition__S03__a__S02__mediante_met_acceptOffer,0.029,false
transition__S01__a__S03__mediante_met_reject,0.045,false
transition__S03__a__S03__mediante_met_acceptOffer,0.044,false
transition__S02__a__S01__mediante_met_acceptOffer,0.076,false
transition__S01__a__S01__mediante_met_acceptOffer,0.022,false
transition__S02__a__S02__mediante_met_acceptOffer,0.028,false
transition__S01__a__S02__mediante_met_acceptOffer,0.022,false
transition__S02__a__S03__mediante_met_acceptOffer,0.042,true
transition__S01__a__S03__mediante_met_acceptOffer,0.041,true

