Transition, Time (secs), Satisfiable
transition__S01__a__S01__mediante_met_makeOffer,0.333,false
transition__S02__a__S01__mediante_met_makeOffer,0.333,false
transition__S03__a__S01__mediante_met_makeOffer,0.35,false
transition__S00__a__S01__mediante_met_constructor,0.373,true
transition__S02__a__S02__mediante_met_makeOffer,0.081,false
transition__S03__a__S02__mediante_met_makeOffer,0.083,false
transition__S00__a__S02__mediante_met_constructor,0.041,false
transition__S01__a__S02__mediante_met_makeOffer,0.144,true
transition__S02__a__S03__mediante_met_makeOffer,0.056,false
transition__S03__a__S03__mediante_met_makeOffer,0.065,false
transition__S01__a__S03__mediante_met_makeOffer,0.04,false
transition__S00__a__S03__mediante_met_constructor,0.064,false
transition__S02__a__S01__mediante_met_reject,0.067,true
transition__S03__a__S01__mediante_met_reject,0.079,false
transition__S02__a__S02__mediante_met_reject,0.042,false
transition__S01__a__S01__mediante_met_reject,0.064,false
transition__S03__a__S02__mediante_met_reject,0.051,false
transition__S01__a__S02__mediante_met_reject,0.026,false
transition__S02__a__S03__mediante_met_reject,0.048,false
transition__S01__a__S03__mediante_met_reject,0.033,false
transition__S03__a__S03__mediante_met_reject,0.034,false
transition__S01__a__S01__mediante_met_acceptOffer,0.023,false
transition__S02__a__S01__mediante_met_acceptOffer,0.057,false
transition__S03__a__S01__mediante_met_acceptOffer,0.043,false
transition__S02__a__S02__mediante_met_acceptOffer,0.019,false
transition__S01__a__S02__mediante_met_acceptOffer,0.043,false
transition__S03__a__S02__mediante_met_acceptOffer,0.035,false
transition__S03__a__S03__mediante_met_acceptOffer,0.023,false
transition__S01__a__S03__mediante_met_acceptOffer,0.029,false
transition__S02__a__S03__mediante_met_acceptOffer,0.065,true

