Transition, Time (secs), Satisfiable
blue_transition__S01__a__S03__mediante_met_choicePlayer2,-1.0,false
blue_transition__S01__a__S03__mediante_met_choicePlayer2,600.016,false
blue_transition__S01__a__S02__mediante_met_choicePlayer1,-1.0,false
blue_transition__S01__a__S02__mediante_met_choicePlayer1,600.026,false
blue_transition__S03__a__S04__mediante_met_choicePlayer1,228.352,false
blue_transition__S03__a__S05__mediante_met_choicePlayer1,-1.0,false
blue_transition__S03__a__S05__mediante_met_choicePlayer1,600.027,false
blue_transition__S03__a__S06__mediante_met_choicePlayer1,-1.0,false
blue_transition__S03__a__S06__mediante_met_choicePlayer1,600.035,false
blue_transition__S02__a__S04__mediante_met_choicePlayer2,-1.0,false
blue_transition__S02__a__S04__mediante_met_choicePlayer2,600.038,false
blue_transition__S02__a__S05__mediante_met_choicePlayer2,-1.0,false
blue_transition__S02__a__S05__mediante_met_choicePlayer2,600.043,false
blue_transition__S02__a__S06__mediante_met_choicePlayer2,-1.0,false
blue_transition__S02__a__S06__mediante_met_choicePlayer2,600.046,false
blue_transition__S00__a__S01__mediante_met_constructor,7.837,false

