Transition, Time (secs), Satisfiable
transition__S06__a__S01__mediante_met_choicePlayer1,3.286,false
transition__S03__a__S01__mediante_met_choicePlayer1,3.259,false
transition__S00__a__S01__mediante_met_constructor,3.832,true
transition__S00__a__S02__mediante_met_constructor,0.764,false
transition__S06__a__S02__mediante_met_choicePlayer1,1.311,false
transition__S03__a__S02__mediante_met_choicePlayer1,1.311,false
transition__S00__a__S03__mediante_met_constructor,0.83,false
transition__S03__a__S03__mediante_met_choicePlayer1,0.839,false
transition__S06__a__S03__mediante_met_choicePlayer1,0.99,false
transition__S00__a__S04__mediante_met_constructor,0.757,false
transition__S06__a__S04__mediante_met_choicePlayer1,0.688,false
transition__S03__a__S04__mediante_met_choicePlayer1,1.077,true
transition__S00__a__S05__mediante_met_constructor,0.534,false
transition__S06__a__S05__mediante_met_choicePlayer1,0.613,false
transition__S03__a__S05__mediante_met_choicePlayer1,0.618,true
transition__S00__a__S06__mediante_met_constructor,0.447,false
transition__S06__a__S06__mediante_met_choicePlayer1,0.631,false
transition__S01__a__S01__mediante_met_choicePlayer1,0.509,false
transition__S03__a__S06__mediante_met_choicePlayer1,0.91,true
transition__S06__a__S01__mediante_met_choicePlayer2,0.579,false
transition__S01__a__S02__mediante_met_choicePlayer1,0.88,true
transition__S06__a__S02__mediante_met_choicePlayer2,0.715,false
transition__S04__a__S01__mediante_met_choicePlayer1,0.761,false
transition__S01__a__S03__mediante_met_choicePlayer1,0.607,false
transition__S04__a__S02__mediante_met_choicePlayer1,0.46,false
transition__S06__a__S03__mediante_met_choicePlayer2,0.605,false
transition__S01__a__S04__mediante_met_choicePlayer1,0.841,false
transition__S04__a__S03__mediante_met_choicePlayer1,0.859,false
transition__S06__a__S04__mediante_met_choicePlayer2,0.721,false
transition__S01__a__S05__mediante_met_choicePlayer1,0.488,false
transition__S04__a__S04__mediante_met_choicePlayer1,0.415,false
transition__S06__a__S05__mediante_met_choicePlayer2,0.513,false
transition__S01__a__S06__mediante_met_choicePlayer1,0.478,false
transition__S04__a__S05__mediante_met_choicePlayer1,0.484,false
transition__S06__a__S06__mediante_met_choicePlayer2,0.406,false
transition__S02__a__S01__mediante_met_choicePlayer1,0.45,false
transition__S04__a__S06__mediante_met_choicePlayer1,0.568,false
transition__S06__a__S01__mediante_met_determineWinner,0.596,false
transition__S02__a__S02__mediante_met_choicePlayer1,0.383,false
transition__S05__a__S01__mediante_met_choicePlayer1,0.583,false
transition__S06__a__S02__mediante_met_determineWinner,0.692,false
transition__S02__a__S03__mediante_met_choicePlayer1,0.58,false
transition__S05__a__S02__mediante_met_choicePlayer1,0.4,false
transition__S02__a__S04__mediante_met_choicePlayer1,0.544,false
transition__S06__a__S03__mediante_met_determineWinner,0.619,false
transition__S05__a__S03__mediante_met_choicePlayer1,0.54,false
transition__S02__a__S05__mediante_met_choicePlayer1,0.561,false
transition__S05__a__S04__mediante_met_choicePlayer1,0.869,false
transition__S06__a__S04__mediante_met_determineWinner,1.012,false
transition__S02__a__S06__mediante_met_choicePlayer1,0.706,false
transition__S05__a__S05__mediante_met_choicePlayer1,0.47,false
transition__S01__a__S01__mediante_met_choicePlayer2,0.331,false
transition__S06__a__S05__mediante_met_determineWinner,0.655,false
transition__S01__a__S02__mediante_met_choicePlayer2,0.472,false
transition__S05__a__S06__mediante_met_choicePlayer1,0.575,false
transition__S03__a__S01__mediante_met_choicePlayer2,0.362,false
transition__S06__a__S06__mediante_met_determineWinner,0.845,false
transition__S01__a__S03__mediante_met_choicePlayer2,0.503,true
transition__S03__a__S02__mediante_met_choicePlayer2,0.527,false
transition__S01__a__S04__mediante_met_choicePlayer2,0.581,false
transition__S03__a__S03__mediante_met_choicePlayer2,0.326,false
transition__S01__a__S05__mediante_met_choicePlayer2,0.367,false
transition__S03__a__S04__mediante_met_choicePlayer2,0.528,false
transition__S01__a__S06__mediante_met_choicePlayer2,0.518,false
transition__S03__a__S05__mediante_met_choicePlayer2,0.35,false
transition__S02__a__S01__mediante_met_choicePlayer2,0.278,false
transition__S03__a__S06__mediante_met_choicePlayer2,0.423,false
transition__S02__a__S02__mediante_met_choicePlayer2,0.405,false
transition__S04__a__S01__mediante_met_choicePlayer2,0.341,false
transition__S02__a__S03__mediante_met_choicePlayer2,0.46,false
transition__S04__a__S02__mediante_met_choicePlayer2,0.738,false
transition__S02__a__S04__mediante_met_choicePlayer2,0.625,true
transition__S04__a__S03__mediante_met_choicePlayer2,0.454,false
transition__S02__a__S05__mediante_met_choicePlayer2,0.577,true
transition__S04__a__S04__mediante_met_choicePlayer2,0.358,false
transition__S04__a__S05__mediante_met_choicePlayer2,0.357,false
transition__S02__a__S06__mediante_met_choicePlayer2,0.417,true
transition__S01__a__S01__mediante_met_determineWinner,0.447,false
transition__S04__a__S06__mediante_met_choicePlayer2,0.473,false
transition__S01__a__S02__mediante_met_determineWinner,0.32,false
transition__S05__a__S01__mediante_met_choicePlayer2,0.319,false
transition__S01__a__S03__mediante_met_determineWinner,0.424,false
transition__S05__a__S02__mediante_met_choicePlayer2,0.419,false
transition__S05__a__S03__mediante_met_choicePlayer2,0.413,false
transition__S01__a__S04__mediante_met_determineWinner,0.46,false
transition__S05__a__S04__mediante_met_choicePlayer2,0.369,false
transition__S01__a__S05__mediante_met_determineWinner,0.382,false
transition__S01__a__S06__mediante_met_determineWinner,0.668,false
transition__S05__a__S05__mediante_met_choicePlayer2,0.71,false
transition__S02__a__S01__mediante_met_determineWinner,0.49,false
transition__S05__a__S06__mediante_met_choicePlayer2,0.526,false
transition__S02__a__S02__mediante_met_determineWinner,0.346,false
transition__S03__a__S01__mediante_met_determineWinner,0.346,false
transition__S02__a__S03__mediante_met_determineWinner,0.415,false
transition__S03__a__S02__mediante_met_determineWinner,0.416,false
transition__S03__a__S03__mediante_met_determineWinner,0.317,false
transition__S02__a__S04__mediante_met_determineWinner,0.46,false
transition__S02__a__S05__mediante_met_determineWinner,0.648,false
transition__S03__a__S04__mediante_met_determineWinner,0.754,false
transition__S02__a__S06__mediante_met_determineWinner,0.497,false
transition__S03__a__S05__mediante_met_determineWinner,0.497,false
transition__S03__a__S06__mediante_met_determineWinner,0.375,false
transition__S04__a__S01__mediante_met_determineWinner,0.443,false
transition__S04__a__S02__mediante_met_determineWinner,0.418,false
transition__S04__a__S03__mediante_met_determineWinner,0.426,false
transition__S04__a__S04__mediante_met_determineWinner,0.555,false
transition__S04__a__S05__mediante_met_determineWinner,0.759,false
transition__S04__a__S06__mediante_met_determineWinner,0.809,false
transition__S05__a__S01__mediante_met_determineWinner,0.407,false
transition__S05__a__S02__mediante_met_determineWinner,0.419,false
transition__S05__a__S03__mediante_met_determineWinner,0.358,false
transition__S05__a__S04__mediante_met_determineWinner,0.561,false
transition__S05__a__S05__mediante_met_determineWinner,0.799,false
transition__S05__a__S06__mediante_met_determineWinner,0.676,false

