Transition, Time (secs), Satisfiable
blue_transition__S00__a__S01__mediante_met_constructor,5.543,false
blue_transition__S01__a__S02__mediante_met_choicePlayer1,-1.0,false
blue_transition__S01__a__S02__mediante_met_choicePlayer1,600.03,false
blue_transition__S02__a__S04__mediante_met_choicePlayer2,-1.0,false
blue_transition__S02__a__S04__mediante_met_choicePlayer2,600.025,false
blue_transition__S02__a__S05__mediante_met_choicePlayer2,-1.0,false
blue_transition__S02__a__S05__mediante_met_choicePlayer2,600.043,false
blue_transition__S02__a__S06__mediante_met_choicePlayer2,-1.0,false
blue_transition__S02__a__S06__mediante_met_choicePlayer2,600.047,false
blue_transition__S01__a__S03__mediante_met_choicePlayer2,-1.0,false
blue_transition__S01__a__S03__mediante_met_choicePlayer2,600.048,false
blue_transition__S03__a__S04__mediante_met_choicePlayer1,256.536,false
blue_transition__S03__a__S05__mediante_met_choicePlayer1,-1.0,false
blue_transition__S03__a__S05__mediante_met_choicePlayer1,600.04,false
blue_transition__S03__a__S06__mediante_met_choicePlayer1,-1.0,false
blue_transition__S03__a__S06__mediante_met_choicePlayer1,600.036,false
blue_transition__S05__a__S05__mediante_met_determineWinner,1.66,true
blue_transition__S04__a__S04__mediante_met_determineWinner,1.725,true
blue_transition__S06__a__S06__mediante_met_determineWinner,1.208,true

