Transition, Time (secs), Satisfiable
transition__S06__a__S01__mediante_met_choicePlayer1,2.996,false
transition__S03__a__S01__mediante_met_choicePlayer1,2.966,false
transition__S00__a__S01__mediante_met_constructor,3.433,true
transition__S03__a__S02__mediante_met_choicePlayer1,1.119,false
transition__S00__a__S02__mediante_met_constructor,0.669,false
transition__S06__a__S02__mediante_met_choicePlayer1,1.213,false
transition__S00__a__S03__mediante_met_constructor,0.753,false
transition__S03__a__S03__mediante_met_choicePlayer1,0.753,false
transition__S06__a__S03__mediante_met_choicePlayer1,0.798,false
transition__S00__a__S04__mediante_met_constructor,0.735,false
transition__S06__a__S04__mediante_met_choicePlayer1,0.698,false
transition__S03__a__S04__mediante_met_choicePlayer1,1.027,true
transition__S00__a__S05__mediante_met_constructor,0.576,false
transition__S06__a__S05__mediante_met_choicePlayer1,0.646,false
transition__S00__a__S06__mediante_met_constructor,0.479,false
transition__S03__a__S05__mediante_met_choicePlayer1,0.773,true
transition__S06__a__S06__mediante_met_choicePlayer1,0.754,false
transition__S01__a__S01__mediante_met_choicePlayer1,0.823,false
transition__S06__a__S01__mediante_met_choicePlayer2,0.564,false
transition__S03__a__S06__mediante_met_choicePlayer1,1.146,true
transition__S01__a__S02__mediante_met_choicePlayer1,0.574,true
transition__S06__a__S02__mediante_met_choicePlayer2,0.676,false
transition__S04__a__S01__mediante_met_choicePlayer1,0.659,false
transition__S01__a__S03__mediante_met_choicePlayer1,0.719,false
transition__S04__a__S02__mediante_met_choicePlayer1,0.427,false
transition__S06__a__S03__mediante_met_choicePlayer2,0.535,false
transition__S01__a__S04__mediante_met_choicePlayer1,0.514,false
transition__S04__a__S03__mediante_met_choicePlayer1,0.487,false
transition__S06__a__S04__mediante_met_choicePlayer2,0.631,false
transition__S01__a__S05__mediante_met_choicePlayer1,0.674,false
transition__S04__a__S04__mediante_met_choicePlayer1,0.764,false
transition__S06__a__S05__mediante_met_choicePlayer2,0.619,false
transition__S01__a__S06__mediante_met_choicePlayer1,0.603,false
transition__S04__a__S05__mediante_met_choicePlayer1,0.68,false
transition__S06__a__S06__mediante_met_choicePlayer2,0.674,false
transition__S02__a__S01__mediante_met_choicePlayer1,0.493,false
transition__S06__a__S01__mediante_met_determineWinner,0.517,false
transition__S04__a__S06__mediante_met_choicePlayer1,0.547,false
transition__S02__a__S02__mediante_met_choicePlayer1,0.429,false
transition__S05__a__S01__mediante_met_choicePlayer1,0.669,false
transition__S06__a__S02__mediante_met_determineWinner,0.7,false
transition__S02__a__S03__mediante_met_choicePlayer1,0.65,false
transition__S05__a__S02__mediante_met_choicePlayer1,0.536,false
transition__S06__a__S03__mediante_met_determineWinner,0.563,false
transition__S02__a__S04__mediante_met_choicePlayer1,0.514,false
transition__S05__a__S03__mediante_met_choicePlayer1,0.764,false
transition__S02__a__S05__mediante_met_choicePlayer1,0.701,false
transition__S06__a__S04__mediante_met_determineWinner,0.943,false
transition__S02__a__S06__mediante_met_choicePlayer1,0.567,false
transition__S05__a__S04__mediante_met_choicePlayer1,0.693,false
transition__S06__a__S05__mediante_met_determineWinner,0.885,false
transition__S01__a__S01__mediante_met_choicePlayer2,0.624,false
transition__S05__a__S05__mediante_met_choicePlayer1,0.724,false
transition__S01__a__S02__mediante_met_choicePlayer2,0.685,false
transition__S06__a__S06__mediante_met_determineWinner,1.001,true
transition__S05__a__S06__mediante_met_choicePlayer1,0.716,false
transition__S01__a__S03__mediante_met_choicePlayer2,0.533,true
transition__S03__a__S01__mediante_met_choicePlayer2,0.364,false
transition__S01__a__S04__mediante_met_choicePlayer2,0.452,false
transition__S03__a__S02__mediante_met_choicePlayer2,0.443,false
transition__S03__a__S03__mediante_met_choicePlayer2,0.507,false
transition__S01__a__S05__mediante_met_choicePlayer2,0.593,false
transition__S03__a__S04__mediante_met_choicePlayer2,0.496,false
transition__S01__a__S06__mediante_met_choicePlayer2,0.455,false
transition__S02__a__S01__mediante_met_choicePlayer2,0.544,false
transition__S03__a__S05__mediante_met_choicePlayer2,0.581,false
transition__S02__a__S02__mediante_met_choicePlayer2,0.403,false
transition__S03__a__S06__mediante_met_choicePlayer2,0.419,false
transition__S02__a__S03__mediante_met_choicePlayer2,0.401,false
transition__S04__a__S01__mediante_met_choicePlayer2,0.575,false
transition__S04__a__S02__mediante_met_choicePlayer2,0.387,false
transition__S02__a__S04__mediante_met_choicePlayer2,0.779,true
transition__S04__a__S03__mediante_met_choicePlayer2,0.57,false
transition__S02__a__S05__mediante_met_choicePlayer2,0.731,true
transition__S04__a__S04__mediante_met_choicePlayer2,0.462,false
transition__S02__a__S06__mediante_met_choicePlayer2,0.514,true
transition__S04__a__S05__mediante_met_choicePlayer2,0.565,false
transition__S01__a__S01__mediante_met_determineWinner,0.561,false
transition__S04__a__S06__mediante_met_choicePlayer2,0.534,false
transition__S01__a__S02__mediante_met_determineWinner,0.525,false
transition__S05__a__S01__mediante_met_choicePlayer2,0.529,false
transition__S01__a__S03__mediante_met_determineWinner,0.434,false
transition__S05__a__S02__mediante_met_choicePlayer2,0.401,false
transition__S01__a__S04__mediante_met_determineWinner,0.472,false
transition__S05__a__S03__mediante_met_choicePlayer2,0.522,false
transition__S01__a__S05__mediante_met_determineWinner,0.626,false
transition__S05__a__S04__mediante_met_choicePlayer2,0.491,false
transition__S01__a__S06__mediante_met_determineWinner,0.585,false
transition__S05__a__S05__mediante_met_choicePlayer2,0.578,false
transition__S02__a__S01__mediante_met_determineWinner,0.671,false
transition__S05__a__S06__mediante_met_choicePlayer2,0.722,false
