Transition, Time (secs), Satisfiable
blue_transition__S04__a__S04__mediante_met_determineWinner,2.191,false
blue_transition__S00__a__S01__mediante_met_constructor,8.154,false
blue_transition__S01__a__S02__mediante_met_choicePlayer1,154.76,false
blue_transition__S01__a__S03__mediante_met_choicePlayer2,148.868,false
blue_transition__S03__a__S04__mediante_met_choicePlayer1,257.629,false
blue_transition__S03__a__S05__mediante_met_choicePlayer1,251.445,false
blue_transition__S03__a__S06__mediante_met_choicePlayer1,279.303,false
blue_transition__S02__a__S04__mediante_met_choicePlayer2,221.284,false
blue_transition__S02__a__S05__mediante_met_choicePlayer2,222.021,false
blue_transition__S02__a__S06__mediante_met_choicePlayer2,240.466,false
blue_transition__S05__a__S05__mediante_met_determineWinner,1.709,false
blue_transition__S06__a__S06__mediante_met_determineWinner,1.431,false

