Transition, Time (secs), Satisfiable
transition__S03__a__S01__mediante_met_choicePlayer1,2.326,false
transition__S06__a__S01__mediante_met_choicePlayer1,2.417,false
transition__S00__a__S01__mediante_met_constructor,2.668,true
transition__S03__a__S02__mediante_met_choicePlayer1,1.233,false
transition__S00__a__S02__mediante_met_constructor,1.154,false
transition__S06__a__S02__mediante_met_choicePlayer1,1.492,false
transition__S03__a__S03__mediante_met_choicePlayer1,1.206,false
transition__S00__a__S03__mediante_met_constructor,0.89,false
transition__S06__a__S03__mediante_met_choicePlayer1,1.141,false
transition__S00__a__S04__mediante_met_constructor,0.742,false
transition__S03__a__S04__mediante_met_choicePlayer1,1.088,true
transition__S06__a__S04__mediante_met_choicePlayer1,0.951,false
transition__S00__a__S05__mediante_met_constructor,0.871,false
transition__S03__a__S05__mediante_met_choicePlayer1,1.059,true
transition__S06__a__S05__mediante_met_choicePlayer1,1.022,false
transition__S00__a__S06__mediante_met_constructor,0.862,false
transition__S03__a__S06__mediante_met_choicePlayer1,0.811,true
transition__S01__a__S01__mediante_met_choicePlayer1,0.572,false
transition__S06__a__S06__mediante_met_choicePlayer1,0.873,false
transition__S04__a__S01__mediante_met_choicePlayer1,0.84,false
transition__S01__a__S02__mediante_met_choicePlayer1,0.804,true
transition__S06__a__S01__mediante_met_choicePlayer2,0.804,false
transition__S04__a__S02__mediante_met_choicePlayer1,0.725,false
transition__S01__a__S03__mediante_met_choicePlayer1,0.664,false
transition__S06__a__S02__mediante_met_choicePlayer2,0.861,false
transition__S04__a__S03__mediante_met_choicePlayer1,0.813,false
transition__S01__a__S04__mediante_met_choicePlayer1,0.801,false
transition__S06__a__S03__mediante_met_choicePlayer2,0.815,false
transition__S01__a__S05__mediante_met_choicePlayer1,0.742,false
transition__S04__a__S04__mediante_met_choicePlayer1,0.833,false
transition__S06__a__S04__mediante_met_choicePlayer2,0.833,false
transition__S01__a__S06__mediante_met_choicePlayer1,0.732,false
transition__S04__a__S05__mediante_met_choicePlayer1,0.802,false
transition__S06__a__S05__mediante_met_choicePlayer2,0.732,false
transition__S02__a__S01__mediante_met_choicePlayer1,0.612,false
transition__S04__a__S06__mediante_met_choicePlayer1,0.742,false
transition__S02__a__S02__mediante_met_choicePlayer1,0.572,false
transition__S06__a__S06__mediante_met_choicePlayer2,0.871,false
transition__S05__a__S01__mediante_met_choicePlayer1,0.782,false
transition__S02__a__S03__mediante_met_choicePlayer1,0.592,false
transition__S06__a__S01__mediante_met_determineWinner,0.911,false
transition__S05__a__S02__mediante_met_choicePlayer1,0.707,false
transition__S02__a__S04__mediante_met_choicePlayer1,0.94,false
transition__S06__a__S02__mediante_met_determineWinner,0.934,false
transition__S05__a__S03__mediante_met_choicePlayer1,0.845,false
transition__S02__a__S05__mediante_met_choicePlayer1,0.733,false
transition__S06__a__S03__mediante_met_determineWinner,0.825,false
transition__S05__a__S04__mediante_met_choicePlayer1,0.813,false
transition__S02__a__S06__mediante_met_choicePlayer1,0.853,false
transition__S01__a__S01__mediante_met_choicePlayer2,0.572,false
transition__S05__a__S05__mediante_met_choicePlayer1,0.913,false
