Transition, Time (secs), Satisfiable
blue_transition__S06__a__S06__mediante_met_t,37.773,false
blue_transition__S02__a__S02__mediante_met_withdraw,1.863,true
blue_transition__S02__a__S06__mediante_met_withdraw,13.742,true
blue_transition__S09__a__S09__mediante_met_bid,19.996,true
blue_transition__S06__a__S12__mediante_met_auctionEnd,2.145,true
blue_transition__S07__a__S07__mediante_met_withdraw,1.763,true
blue_transition__S07__a__S12__mediante_met_withdraw,1.773,true
blue_transition__S02__a__S02__mediante_met_t,-1.0,false
blue_transition__S02__a__S02__mediante_met_t,120.013,false
blue_transition__S09__a__S02__mediante_met_t,0.851,true
blue_transition__S09__a__S06__mediante_met_t,1.055,true
blue_transition__S09__a__S09__mediante_met_t,1.887,true
blue_transition__S00__a__S06__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S06__mediante_met_constructor,120.015,false
blue_transition__S00__a__S09__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S09__mediante_met_constructor,120.005,false
blue_transition__S02__a__S07__mediante_met_auctionEnd,1.709,true
blue_transition__S12__a__S12__mediante_met_t,20.264,false
blue_transition__S07__a__S07__mediante_met_t,37.275,false

