Transition, Time (secs), Satisfiable
transition__S00__a__S02__mediante_met_constructor,0.155,false
transition__S07__a__S02__mediante_met_bid,0.167,false
transition__S06__a__S02__mediante_met_bid,0.195,false
transition__S02__a__S02__mediante_met_bid,0.202,false
transition__S06__a__S06__mediante_met_bid,0.171,false
transition__S07__a__S06__mediante_met_bid,0.2,false
transition__S02__a__S06__mediante_met_bid,0.173,false
transition__S00__a__S06__mediante_met_constructor,0.275,true
transition__S00__a__S07__mediante_met_constructor,0.105,false
transition__S07__a__S07__mediante_met_bid,0.2,false
transition__S06__a__S07__mediante_met_bid,0.202,false
transition__S02__a__S07__mediante_met_bid,0.199,false
transition__S00__a__S09__mediante_met_constructor,0.193,true
transition__S02__a__S09__mediante_met_bid,0.166,false
transition__S07__a__S09__mediante_met_bid,0.184,false
transition__S06__a__S09__mediante_met_bid,0.18,false
transition__S00__a__S12__mediante_met_constructor,0.105,false
transition__S06__a__S12__mediante_met_bid,0.153,false
transition__S02__a__S12__mediante_met_bid,0.173,false
transition__S07__a__S12__mediante_met_bid,0.168,false
transition__S07__a__S02__mediante_met_withdraw,0.176,false
transition__S06__a__S02__mediante_met_withdraw,0.254,false
transition__S02__a__S02__mediante_met_withdraw,0.298,true
transition__S07__a__S06__mediante_met_withdraw,0.129,false
transition__S09__a__S02__mediante_met_bid,0.478,false
transition__S06__a__S06__mediante_met_withdraw,0.265,false
transition__S02__a__S06__mediante_met_withdraw,0.351,true
transition__S06__a__S07__mediante_met_withdraw,0.197,false
transition__S07__a__S07__mediante_met_withdraw,0.433,true
transition__S02__a__S07__mediante_met_withdraw,0.14,false
transition__S09__a__S06__mediante_met_bid,0.367,false
transition__S07__a__S09__mediante_met_withdraw,0.136,false
transition__S09__a__S07__mediante_met_bid,0.138,false
transition__S06__a__S09__mediante_met_withdraw,0.242,false
transition__S02__a__S09__mediante_met_withdraw,0.329,false
transition__S07__a__S12__mediante_met_withdraw,0.248,true
transition__S06__a__S12__mediante_met_withdraw,0.221,false
transition__S09__a__S09__mediante_met_bid,0.358,true
transition__S07__a__S02__mediante_met_auctionEnd,0.203,false
transition__S06__a__S02__mediante_met_auctionEnd,0.231,false
transition__S02__a__S12__mediante_met_withdraw,0.308,false
transition__S07__a__S06__mediante_met_auctionEnd,0.177,false
transition__S09__a__S12__mediante_met_bid,0.259,false
transition__S06__a__S06__mediante_met_auctionEnd,0.158,false
transition__S02__a__S02__mediante_met_auctionEnd,0.18,false
transition__S07__a__S07__mediante_met_auctionEnd,0.144,false
transition__S09__a__S02__mediante_met_withdraw,0.102,false
transition__S02__a__S06__mediante_met_auctionEnd,0.13,false
transition__S07__a__S09__mediante_met_auctionEnd,0.11,false
transition__S06__a__S07__mediante_met_auctionEnd,0.226,false
transition__S09__a__S06__mediante_met_withdraw,0.196,false
transition__S06__a__S09__mediante_met_auctionEnd,0.183,false
transition__S07__a__S12__mediante_met_auctionEnd,0.202,false
transition__S09__a__S07__mediante_met_withdraw,0.129,false
transition__S02__a__S07__mediante_met_auctionEnd,0.336,true
transition__S07__a__S02__mediante_met_t,0.122,false
transition__S09__a__S09__mediante_met_withdraw,0.188,false
transition__S06__a__S12__mediante_met_auctionEnd,0.267,true
transition__S02__a__S09__mediante_met_auctionEnd,0.167,false
transition__S07__a__S06__mediante_met_t,0.17,false
transition__S09__a__S12__mediante_met_withdraw,0.09,false
transition__S09__a__S02__mediante_met_auctionEnd,0.178,false
transition__S06__a__S02__mediante_met_t,0.224,false
transition__S02__a__S12__mediante_met_auctionEnd,0.258,false
transition__S07__a__S07__mediante_met_t,0.257,true
transition__S09__a__S06__mediante_met_auctionEnd,0.094,false
transition__S07__a__S09__mediante_met_t,0.177,false
transition__S09__a__S07__mediante_met_auctionEnd,0.179,false
transition__S06__a__S06__mediante_met_t,0.266,true
transition__S02__a__S02__mediante_met_t,0.277,true
transition__S09__a__S09__mediante_met_auctionEnd,0.137,false
transition__S06__a__S07__mediante_met_t,0.135,false
transition__S07__a__S12__mediante_met_t,0.233,false
transition__S09__a__S12__mediante_met_auctionEnd,0.202,false
transition__S02__a__S06__mediante_met_t,0.304,false
transition__S12__a__S02__mediante_met_bid,0.113,false
transition__S06__a__S09__mediante_met_t,0.285,false
transition__S02__a__S07__mediante_met_t,0.106,false
transition__S12__a__S06__mediante_met_bid,0.21,false
transition__S09__a__S02__mediante_met_t,0.322,true
transition__S06__a__S12__mediante_met_t,0.273,false
transition__S12__a__S07__mediante_met_bid,0.117,false
transition__S02__a__S09__mediante_met_t,0.325,false
transition__S09__a__S06__mediante_met_t,0.256,true
transition__S12__a__S09__mediante_met_bid,0.167,false
transition__S02__a__S12__mediante_met_t,0.202,false
transition__S09__a__S07__mediante_met_t,0.11,false
transition__S12__a__S12__mediante_met_bid,0.116,false
transition__S12__a__S02__mediante_met_withdraw,0.134,false
transition__S09__a__S09__mediante_met_t,0.226,true
transition__S12__a__S06__mediante_met_withdraw,0.102,false
transition__S09__a__S12__mediante_met_t,0.193,false
transition__S12__a__S07__mediante_met_withdraw,0.221,false
transition__S12__a__S09__mediante_met_withdraw,0.106,false
transition__S12__a__S12__mediante_met_withdraw,0.163,false
transition__S12__a__S02__mediante_met_auctionEnd,0.082,false
transition__S12__a__S06__mediante_met_auctionEnd,0.094,false
transition__S12__a__S07__mediante_met_auctionEnd,0.109,false
transition__S12__a__S09__mediante_met_auctionEnd,0.187,false
transition__S12__a__S12__mediante_met_auctionEnd,0.096,false
transition__S12__a__S02__mediante_met_t,0.135,false
transition__S12__a__S06__mediante_met_t,0.123,false
transition__S12__a__S07__mediante_met_t,0.222,false
transition__S12__a__S09__mediante_met_t,0.165,false
transition__S12__a__S12__mediante_met_t,0.225,true

