Transition, Time (secs), Satisfiable
blue_transition__S07__a__S07__mediante_met_t,-1.0,false
blue_transition__S07__a__S07__mediante_met_t,120.008,false
blue_transition__S09__a__S09__mediante_met_bid,34.775,true
blue_transition__S02__a__S07__mediante_met_auctionEnd,-1.0,false
blue_transition__S02__a__S07__mediante_met_auctionEnd,120.002,false
blue_transition__S12__a__S12__mediante_met_t,33.394,false
blue_transition__S00__a__S06__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S06__mediante_met_constructor,120.008,false
blue_transition__S00__a__S09__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S09__mediante_met_constructor,120.001,false
blue_transition__S09__a__S02__mediante_met_t,1.021,true
blue_transition__S09__a__S06__mediante_met_t,0.981,true
blue_transition__S09__a__S09__mediante_met_t,1.223,true
blue_transition__S06__a__S12__mediante_met_auctionEnd,-1.0,false
blue_transition__S06__a__S12__mediante_met_auctionEnd,120.008,false
blue_transition__S07__a__S07__mediante_met_withdraw,3.035,true
blue_transition__S07__a__S12__mediante_met_withdraw,18.72,true
blue_transition__S02__a__S02__mediante_met_t,-1.0,false
blue_transition__S02__a__S02__mediante_met_t,120.005,false
blue_transition__S06__a__S06__mediante_met_t,91.474,false
blue_transition__S02__a__S02__mediante_met_withdraw,3.825,true
blue_transition__S02__a__S06__mediante_met_withdraw,17.94,true

