Transition, Time (secs), Satisfiable
transition__S00__a__S02__mediante_met_constructor,0.136,false
transition__S07__a__S02__mediante_met_bid,0.149,false
transition__S06__a__S02__mediante_met_bid,0.197,false
transition__S02__a__S02__mediante_met_bid,0.197,false
transition__S00__a__S06__mediante_met_constructor,0.223,true
transition__S07__a__S06__mediante_met_bid,0.213,false
transition__S06__a__S06__mediante_met_bid,0.167,false
transition__S02__a__S06__mediante_met_bid,0.228,false
transition__S00__a__S07__mediante_met_constructor,0.124,false
transition__S07__a__S07__mediante_met_bid,0.23,false
transition__S06__a__S07__mediante_met_bid,0.24,false
transition__S02__a__S07__mediante_met_bid,0.209,false
transition__S00__a__S09__mediante_met_constructor,0.262,true
transition__S07__a__S09__mediante_met_bid,0.193,false
transition__S06__a__S09__mediante_met_bid,0.241,false
transition__S02__a__S09__mediante_met_bid,0.219,false
transition__S00__a__S12__mediante_met_constructor,0.128,false
transition__S07__a__S12__mediante_met_bid,0.229,false
transition__S06__a__S12__mediante_met_bid,0.193,false
transition__S02__a__S12__mediante_met_bid,0.191,false
transition__S07__a__S02__mediante_met_withdraw,0.214,false
transition__S02__a__S02__mediante_met_withdraw,0.325,true
transition__S06__a__S02__mediante_met_withdraw,0.34,false
transition__S07__a__S06__mediante_met_withdraw,0.188,false
transition__S09__a__S02__mediante_met_bid,0.607,false
transition__S06__a__S06__mediante_met_withdraw,0.262,false
transition__S02__a__S06__mediante_met_withdraw,0.359,true
transition__S07__a__S07__mediante_met_withdraw,0.339,true
transition__S09__a__S06__mediante_met_bid,0.328,false
transition__S06__a__S07__mediante_met_withdraw,0.211,false
transition__S02__a__S07__mediante_met_withdraw,0.233,false
transition__S07__a__S09__mediante_met_withdraw,0.274,false
transition__S09__a__S07__mediante_met_bid,0.221,false
transition__S06__a__S09__mediante_met_withdraw,0.258,false
transition__S07__a__S12__mediante_met_withdraw,0.256,true
transition__S02__a__S09__mediante_met_withdraw,0.336,false
transition__S06__a__S12__mediante_met_withdraw,0.27,false
transition__S09__a__S09__mediante_met_bid,0.347,true
transition__S07__a__S02__mediante_met_auctionEnd,0.211,false
transition__S06__a__S02__mediante_met_auctionEnd,0.189,false
transition__S02__a__S12__mediante_met_withdraw,0.302,false
transition__S09__a__S12__mediante_met_bid,0.248,false
transition__S07__a__S06__mediante_met_auctionEnd,0.22,false
transition__S06__a__S06__mediante_met_auctionEnd,0.198,false
transition__S02__a__S02__mediante_met_auctionEnd,0.242,false
transition__S09__a__S02__mediante_met_withdraw,0.24,false
transition__S07__a__S07__mediante_met_auctionEnd,0.217,false
transition__S02__a__S06__mediante_met_auctionEnd,0.19,false
transition__S06__a__S07__mediante_met_auctionEnd,0.303,false
transition__S09__a__S06__mediante_met_withdraw,0.254,false
transition__S07__a__S09__mediante_met_auctionEnd,0.245,false
transition__S06__a__S09__mediante_met_auctionEnd,0.227,false
transition__S09__a__S07__mediante_met_withdraw,0.207,false
transition__S02__a__S07__mediante_met_auctionEnd,0.34,true
transition__S07__a__S12__mediante_met_auctionEnd,0.191,false
transition__S09__a__S09__mediante_met_withdraw,0.219,false
transition__S07__a__S02__mediante_met_t,0.204,false
transition__S02__a__S09__mediante_met_auctionEnd,0.209,false
transition__S06__a__S12__mediante_met_auctionEnd,0.294,true
transition__S09__a__S12__mediante_met_withdraw,0.209,false
transition__S07__a__S06__mediante_met_t,0.191,false
transition__S02__a__S12__mediante_met_auctionEnd,0.33,false
transition__S09__a__S02__mediante_met_auctionEnd,0.199,false
transition__S07__a__S07__mediante_met_t,0.311,true
transition__S09__a__S06__mediante_met_auctionEnd,0.209,false
transition__S02__a__S02__mediante_met_t,0.274,true
transition__S07__a__S09__mediante_met_t,0.177,false
transition__S06__a__S02__mediante_met_t,0.78,false
transition__S09__a__S07__mediante_met_auctionEnd,0.202,false
transition__S09__a__S09__mediante_met_auctionEnd,0.194,false
transition__S06__a__S06__mediante_met_t,0.28,true
transition__S07__a__S12__mediante_met_t,0.398,false
transition__S09__a__S12__mediante_met_auctionEnd,0.238,false
transition__S02__a__S06__mediante_met_t,0.641,false
transition__S06__a__S07__mediante_met_t,0.19,false
transition__S12__a__S02__mediante_met_bid,0.2,false
transition__S02__a__S07__mediante_met_t,0.171,false
transition__S12__a__S06__mediante_met_bid,0.218,false
transition__S06__a__S09__mediante_met_t,0.279,false
transition__S09__a__S02__mediante_met_t,0.322,true
transition__S12__a__S07__mediante_met_bid,0.184,false
transition__S02__a__S09__mediante_met_t,0.284,false
transition__S06__a__S12__mediante_met_t,0.217,false
transition__S09__a__S06__mediante_met_t,0.294,true
transition__S12__a__S09__mediante_met_bid,0.193,false
transition__S02__a__S12__mediante_met_t,0.203,false
transition__S09__a__S07__mediante_met_t,0.154,false
transition__S12__a__S12__mediante_met_bid,0.173,false
transition__S12__a__S02__mediante_met_withdraw,0.21,false
transition__S09__a__S09__mediante_met_t,0.283,true
transition__S12__a__S06__mediante_met_withdraw,0.178,false
transition__S09__a__S12__mediante_met_t,0.205,false
transition__S12__a__S07__mediante_met_withdraw,0.207,false
transition__S12__a__S09__mediante_met_withdraw,0.157,false
transition__S12__a__S12__mediante_met_withdraw,0.219,false
