Transition, Time (secs), Satisfiable
blue_transition__S02__a__S02__mediante_met_modifyOffer,117.501,false
blue_transition__S03__a__S01__mediante_met_rescindOffer,0.031,true
blue_transition__S02__a__S01__mediante_met_rescindOffer,0.028,true
blue_transition__S03__a__S10__mediante_met_terminate,0.02,true
blue_transition__S01__a__S02__mediante_met_makeOffer,1.172,true
blue_transition__S00__a__S01__mediante_met_constructor,0.117,true
blue_transition__S04__a__S01__mediante_met_rescindOffer,0.016,true
blue_transition__S03__a__S01__mediante_met_reject,0.017,true
blue_transition__S06__a__S01__mediante_met_rescindOffer,0.014,true
blue_transition__S08__a__S10__mediante_met_terminate,0.019,true
blue_transition__S02__a__S01__mediante_met_reject,0.023,true
blue_transition__S08__a__S09__mediante_met_accept,0.021,true
blue_transition__S06__a__S01__mediante_met_reject,0.019,true
blue_transition__S02__a__S10__mediante_met_terminate,0.017,true
blue_transition__S02__a__S03__mediante_met_acceptOffer,0.018,true
blue_transition__S04__a__S01__mediante_met_reject,0.013,true
blue_transition__S01__a__S10__mediante_met_terminate,0.013,true
blue_transition__S03__a__S05__mediante_met_markAppraised,0.018,true
blue_transition__S04__a__S10__mediante_met_terminate,0.022,true
blue_transition__S05__a__S01__mediante_met_reject,0.015,true
blue_transition__S03__a__S04__mediante_met_markInspected,0.034,false
blue_transition__S06__a__S07__mediante_met_accept,0.016,true
blue_transition__S06__a__S08__mediante_met_accept,0.017,true
blue_transition__S07__a__S09__mediante_met_accept,0.015,true
blue_transition__S05__a__S06__mediante_met_markInspected,0.044,false
blue_transition__S05__a__S10__mediante_met_terminate,0.02,true
blue_transition__S05__a__S01__mediante_met_rescindOffer,0.014,true
blue_transition__S07__a__S01__mediante_met_rescindOffer,0.018,true
blue_transition__S06__a__S10__mediante_met_terminate,0.019,true
blue_transition__S01__a__S01__mediante_met_modify,0.099,true
blue_transition__S04__a__S06__mediante_met_markAppraised,0.018,true
blue_transition__S08__a__S01__mediante_met_reject,0.016,true

