Transition, Time (secs), Satisfiable
transition__S10__a__S01__mediante_met_terminate,0.009,false
transition__S10__a__S02__mediante_met_terminate,0.007,false
transition__S10__a__S03__mediante_met_terminate,0.008,false
transition__S10__a__S04__mediante_met_terminate,0.009,false
transition__S10__a__S05__mediante_met_terminate,0.008,false
transition__S10__a__S06__mediante_met_terminate,0.009,false
transition__S10__a__S07__mediante_met_terminate,0.003,false
transition__S00__a__S01__mediante_met_constructor,0.013,true
transition__S10__a__S08__mediante_met_terminate,0.017,false
transition__S00__a__S02__mediante_met_constructor,0.008,false
transition__S10__a__S09__mediante_met_terminate,0.008,false
transition__S05__a__S01__mediante_met_terminate,0.008,false
transition__S00__a__S03__mediante_met_constructor,0.008,false
transition__S10__a__S10__mediante_met_terminate,0.009,false
transition__S05__a__S02__mediante_met_terminate,0.009,false
transition__S00__a__S04__mediante_met_constructor,0.008,false
transition__S10__a__S01__mediante_met_modify,0.006,false
transition__S05__a__S03__mediante_met_terminate,0.005,false
transition__S00__a__S05__mediante_met_constructor,0.002,false
transition__S00__a__S06__mediante_met_constructor,0.0,false
transition__S05__a__S04__mediante_met_terminate,0.0,false
transition__S10__a__S02__mediante_met_modify,0.013,false
transition__S00__a__S07__mediante_met_constructor,0.007,false
transition__S05__a__S05__mediante_met_terminate,0.007,false
transition__S10__a__S03__mediante_met_modify,0.009,false
transition__S05__a__S06__mediante_met_terminate,0.01,false
transition__S00__a__S08__mediante_met_constructor,0.01,false
transition__S10__a__S04__mediante_met_modify,0.009,false
transition__S05__a__S07__mediante_met_terminate,0.008,false
transition__S00__a__S09__mediante_met_constructor,0.009,false
transition__S10__a__S05__mediante_met_modify,0.007,false
transition__S00__a__S10__mediante_met_constructor,0.01,false
transition__S05__a__S08__mediante_met_terminate,0.011,false
transition__S10__a__S06__mediante_met_modify,0.011,false
transition__S01__a__S01__mediante_met_terminate,0.009,false
transition__S05__a__S09__mediante_met_terminate,0.011,false
transition__S10__a__S07__mediante_met_modify,0.01,false
transition__S01__a__S02__mediante_met_terminate,0.008,false
transition__S10__a__S08__mediante_met_modify,0.007,false
transition__S05__a__S10__mediante_met_terminate,0.014,true
transition__S01__a__S03__mediante_met_terminate,0.007,false
transition__S10__a__S09__mediante_met_modify,0.007,false
transition__S01__a__S04__mediante_met_terminate,0.005,false
transition__S06__a__S01__mediante_met_terminate,0.005,false
transition__S10__a__S10__mediante_met_modify,0.013,false
transition__S01__a__S05__mediante_met_terminate,0.017,false
transition__S06__a__S02__mediante_met_terminate,0.017,false
transition__S10__a__S01__mediante_met_makeOffer,0.011,false
transition__S01__a__S06__mediante_met_terminate,0.012,false
transition__S10__a__S02__mediante_met_makeOffer,0.01,false
transition__S06__a__S03__mediante_met_terminate,0.014,false
transition__S10__a__S03__mediante_met_makeOffer,0.013,false
transition__S06__a__S04__mediante_met_terminate,0.011,false
transition__S01__a__S07__mediante_met_terminate,0.013,false
transition__S10__a__S04__mediante_met_makeOffer,0.011,false
transition__S06__a__S05__mediante_met_terminate,0.011,false
transition__S01__a__S08__mediante_met_terminate,0.012,false
transition__S06__a__S06__mediante_met_terminate,0.009,false
transition__S10__a__S05__mediante_met_makeOffer,0.01,false
transition__S01__a__S09__mediante_met_terminate,0.01,false
transition__S06__a__S07__mediante_met_terminate,0.007,false
transition__S10__a__S06__mediante_met_makeOffer,0.008,false
transition__S01__a__S10__mediante_met_terminate,0.01,true
transition__S06__a__S08__mediante_met_terminate,0.009,false
transition__S10__a__S07__mediante_met_makeOffer,0.008,false
transition__S02__a__S01__mediante_met_terminate,0.008,false
transition__S06__a__S09__mediante_met_terminate,0.008,false
transition__S10__a__S08__mediante_met_makeOffer,0.008,false
transition__S02__a__S02__mediante_met_terminate,0.007,false
transition__S10__a__S09__mediante_met_makeOffer,0.007,false
transition__S02__a__S03__mediante_met_terminate,0.007,false
transition__S10__a__S10__mediante_met_makeOffer,0.007,false
transition__S06__a__S10__mediante_met_terminate,0.016,true
transition__S02__a__S04__mediante_met_terminate,0.008,false
transition__S10__a__S01__mediante_met_acceptOffer,0.007,false
transition__S07__a__S01__mediante_met_terminate,0.007,false
transition__S02__a__S05__mediante_met_terminate,0.006,false
