Transition, Time (secs), Satisfiable
transition__S06__a__S01__mediante_met_beginReviewProcess,0.006,false
transition__S06__a__S02__mediante_met_beginReviewProcess,0.007,false
transition__S00__a__S01__mediante_met_constructor,0.015,true
transition__S03__a__S01__mediante_met_beginReviewProcess,0.007,false
transition__S06__a__S03__mediante_met_beginReviewProcess,0.007,false
transition__S00__a__S02__mediante_met_constructor,0.0,false
transition__S03__a__S02__mediante_met_beginReviewProcess,0.0,false
transition__S06__a__S04__mediante_met_beginReviewProcess,0.0,false
transition__S00__a__S03__mediante_met_constructor,0.015,false
transition__S03__a__S03__mediante_met_beginReviewProcess,0.015,false
transition__S06__a__S05__mediante_met_beginReviewProcess,0.015,false
transition__S03__a__S04__mediante_met_beginReviewProcess,0.0,false
transition__S00__a__S04__mediante_met_constructor,0.0,false
transition__S06__a__S06__mediante_met_beginReviewProcess,0.0,false
transition__S06__a__S01__mediante_met_uploadDocuments,0.014,false
transition__S03__a__S05__mediante_met_beginReviewProcess,0.014,false
transition__S00__a__S05__mediante_met_constructor,0.015,false
transition__S06__a__S02__mediante_met_uploadDocuments,0.006,false
transition__S03__a__S06__mediante_met_beginReviewProcess,0.006,false
transition__S00__a__S06__mediante_met_constructor,0.007,false
transition__S06__a__S03__mediante_met_uploadDocuments,0.003,false
transition__S01__a__S01__mediante_met_beginReviewProcess,0.002,false
transition__S04__a__S01__mediante_met_beginReviewProcess,0.003,false
transition__S06__a__S04__mediante_met_uploadDocuments,0.0,false
transition__S04__a__S02__mediante_met_beginReviewProcess,0.012,false
transition__S01__a__S02__mediante_met_beginReviewProcess,0.014,true
transition__S06__a__S05__mediante_met_uploadDocuments,0.014,false
transition__S04__a__S03__mediante_met_beginReviewProcess,0.001,false
transition__S01__a__S03__mediante_met_beginReviewProcess,0.0,false
transition__S06__a__S06__mediante_met_uploadDocuments,0.01,false
transition__S01__a__S04__mediante_met_beginReviewProcess,0.012,false
transition__S04__a__S04__mediante_met_beginReviewProcess,0.012,false
transition__S06__a__S01__mediante_met_shareWithThirdParty,0.005,false
transition__S01__a__S05__mediante_met_beginReviewProcess,0.003,false
transition__S04__a__S05__mediante_met_beginReviewProcess,0.003,false
transition__S01__a__S06__mediante_met_beginReviewProcess,0.009,false
transition__S04__a__S06__mediante_met_beginReviewProcess,0.009,false
transition__S06__a__S02__mediante_met_shareWithThirdParty,0.011,false
transition__S05__a__S01__mediante_met_beginReviewProcess,0.005,false
transition__S02__a__S01__mediante_met_beginReviewProcess,0.005,false
transition__S06__a__S03__mediante_met_shareWithThirdParty,0.005,false
transition__S05__a__S02__mediante_met_beginReviewProcess,0.0,false
transition__S02__a__S02__mediante_met_beginReviewProcess,0.0,false
transition__S06__a__S04__mediante_met_shareWithThirdParty,0.006,false
transition__S05__a__S03__mediante_met_beginReviewProcess,0.0,false
transition__S02__a__S03__mediante_met_beginReviewProcess,0.0,false
transition__S06__a__S05__mediante_met_shareWithThirdParty,0.006,false
transition__S02__a__S04__mediante_met_beginReviewProcess,0.0,false
transition__S05__a__S04__mediante_met_beginReviewProcess,0.006,false
transition__S06__a__S06__mediante_met_shareWithThirdParty,0.011,false
transition__S02__a__S05__mediante_met_beginReviewProcess,0.011,false
transition__S05__a__S05__mediante_met_beginReviewProcess,0.011,false
transition__S06__a__S01__mediante_met_acceptSharingRequest,0.008,false
transition__S05__a__S06__mediante_met_beginReviewProcess,0.005,false
transition__S02__a__S06__mediante_met_beginReviewProcess,0.01,false
transition__S06__a__S02__mediante_met_acceptSharingRequest,0.002,false
transition__S03__a__S01__mediante_met_uploadDocuments,0.0,false
transition__S01__a__S01__mediante_met_uploadDocuments,0.0,false
transition__S06__a__S03__mediante_met_acceptSharingRequest,0.01,false
transition__S03__a__S02__mediante_met_uploadDocuments,0.013,false
transition__S01__a__S02__mediante_met_uploadDocuments,0.013,false
transition__S06__a__S04__mediante_met_acceptSharingRequest,0.005,false
transition__S03__a__S03__mediante_met_uploadDocuments,0.006,false
transition__S01__a__S03__mediante_met_uploadDocuments,0.005,false
transition__S06__a__S05__mediante_met_acceptSharingRequest,0.006,false
transition__S03__a__S04__mediante_met_uploadDocuments,0.007,false
transition__S01__a__S04__mediante_met_uploadDocuments,0.008,false
transition__S06__a__S06__mediante_met_acceptSharingRequest,0.007,false
transition__S03__a__S05__mediante_met_uploadDocuments,0.007,false
transition__S01__a__S05__mediante_met_uploadDocuments,0.007,false
transition__S06__a__S01__mediante_met_rejectSharingRequest,0.007,false
transition__S03__a__S06__mediante_met_uploadDocuments,0.006,false
transition__S01__a__S06__mediante_met_uploadDocuments,0.005,false
transition__S06__a__S02__mediante_met_rejectSharingRequest,0.006,false
transition__S02__a__S01__mediante_met_uploadDocuments,0.005,false
transition__S04__a__S01__mediante_met_uploadDocuments,0.007,false
transition__S06__a__S03__mediante_met_rejectSharingRequest,0.007,false
transition__S02__a__S02__mediante_met_uploadDocuments,0.006,false
transition__S04__a__S02__mediante_met_uploadDocuments,0.006,false
transition__S06__a__S04__mediante_met_rejectSharingRequest,0.007,false
transition__S04__a__S03__mediante_met_uploadDocuments,0.007,false
transition__S02__a__S03__mediante_met_uploadDocuments,0.009,true
transition__S06__a__S05__mediante_met_rejectSharingRequest,0.006,false
transition__S04__a__S04__mediante_met_uploadDocuments,0.006,false
transition__S02__a__S04__mediante_met_uploadDocuments,0.004,false
transition__S06__a__S06__mediante_met_rejectSharingRequest,0.007,false
transition__S04__a__S05__mediante_met_uploadDocuments,0.007,false
transition__S02__a__S05__mediante_met_uploadDocuments,0.006,false
transition__S06__a__S01__mediante_met_requestLockerAccess,0.001,false
transition__S04__a__S06__mediante_met_uploadDocuments,0.0,false
transition__S02__a__S06__mediante_met_uploadDocuments,0.0,false
transition__S06__a__S02__mediante_met_requestLockerAccess,0.0,false
transition__S01__a__S01__mediante_met_shareWithThirdParty,0.0,false
transition__S05__a__S01__mediante_met_uploadDocuments,0.015,false
transition__S06__a__S03__mediante_met_requestLockerAccess,0.015,false
transition__S01__a__S02__mediante_met_shareWithThirdParty,0.015,false
transition__S05__a__S02__mediante_met_uploadDocuments,0.006,false
transition__S06__a__S04__mediante_met_requestLockerAccess,0.0,false
transition__S01__a__S03__mediante_met_shareWithThirdParty,0.0,false
transition__S05__a__S03__mediante_met_uploadDocuments,0.0,false
transition__S06__a__S05__mediante_met_requestLockerAccess,0.0,false
transition__S01__a__S04__mediante_met_shareWithThirdParty,0.0,false
transition__S05__a__S04__mediante_met_uploadDocuments,0.0,false
transition__S01__a__S05__mediante_met_shareWithThirdParty,0.015,false
