Transition, Time (secs), Satisfiable
blue_transition__S02__a__S02__mediante_met_transferResponsibility,0.03,false
blue_transition__S02__a__S02__mediante_met_ingestTelemetry,4.469,true
blue_transition__S02__a__S04__mediante_met_ingestTelemetry,4.672,true
blue_transition__S01__a__S01__mediante_met_ingestTelemetry,4.438,true
blue_transition__S01__a__S04__mediante_met_ingestTelemetry,4.415,true
blue_transition__S01__a__S02__mediante_met_transferResponsibility,0.024,false
blue_transition__S02__a__S03__mediante_met_complete,0.014,true
blue_transition__S00__a__S01__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S01__mediante_met_constructor,600.022,false

