Transition, Time (secs), Satisfiable
transition__S04__a__S01__mediante_met_ingestTelemetry,0.025,false
transition__S02__a__S01__mediante_met_ingestTelemetry,0.024,false
transition__S00__a__S01__mediante_met_constructor,0.028,true
transition__S00__a__S02__mediante_met_constructor,0.013,false
transition__S04__a__S02__mediante_met_ingestTelemetry,0.018,false
transition__S00__a__S03__mediante_met_constructor,0.015,false
transition__S04__a__S03__mediante_met_ingestTelemetry,0.019,false
transition__S02__a__S02__mediante_met_ingestTelemetry,0.045,true
transition__S00__a__S04__mediante_met_constructor,0.014,false
transition__S04__a__S04__mediante_met_ingestTelemetry,0.021,false
transition__S02__a__S03__mediante_met_ingestTelemetry,0.014,false
transition__S04__a__S01__mediante_met_transferResponsibility,0.018,false
transition__S01__a__S01__mediante_met_ingestTelemetry,0.036,true
transition__S04__a__S02__mediante_met_transferResponsibility,0.011,false
transition__S02__a__S04__mediante_met_ingestTelemetry,0.033,true
transition__S01__a__S02__mediante_met_ingestTelemetry,0.009,false
transition__S04__a__S03__mediante_met_transferResponsibility,0.005,false
transition__S03__a__S01__mediante_met_ingestTelemetry,0.009,false
transition__S04__a__S04__mediante_met_transferResponsibility,0.015,false
transition__S01__a__S03__mediante_met_ingestTelemetry,0.017,false
transition__S03__a__S02__mediante_met_ingestTelemetry,0.018,false
transition__S04__a__S01__mediante_met_complete,0.017,false
transition__S03__a__S03__mediante_met_ingestTelemetry,0.016,false
transition__S04__a__S02__mediante_met_complete,0.015,false
transition__S03__a__S04__mediante_met_ingestTelemetry,0.012,false
transition__S01__a__S04__mediante_met_ingestTelemetry,0.042,true
transition__S04__a__S03__mediante_met_complete,0.009,false
transition__S02__a__S01__mediante_met_transferResponsibility,0.015,false
transition__S01__a__S01__mediante_met_transferResponsibility,0.016,false
transition__S04__a__S04__mediante_met_complete,0.016,false
transition__S02__a__S02__mediante_met_transferResponsibility,0.023,true
transition__S01__a__S02__mediante_met_transferResponsibility,0.024,true
transition__S02__a__S03__mediante_met_transferResponsibility,0.004,false
transition__S01__a__S03__mediante_met_transferResponsibility,0.009,false
transition__S02__a__S04__mediante_met_transferResponsibility,0.018,false
transition__S01__a__S04__mediante_met_transferResponsibility,0.012,false
transition__S03__a__S01__mediante_met_transferResponsibility,0.011,false
transition__S01__a__S01__mediante_met_complete,0.012,false
transition__S03__a__S02__mediante_met_transferResponsibility,0.011,false
transition__S01__a__S02__mediante_met_complete,0.007,false
transition__S03__a__S03__mediante_met_transferResponsibility,0.0,false
transition__S01__a__S03__mediante_met_complete,0.0,false
transition__S01__a__S04__mediante_met_complete,0.015,false
transition__S03__a__S04__mediante_met_transferResponsibility,0.015,false
transition__S02__a__S01__mediante_met_complete,0.015,false
transition__S02__a__S02__mediante_met_complete,0.0,false
transition__S02__a__S03__mediante_met_complete,0.026,true
transition__S02__a__S04__mediante_met_complete,0.0,false
transition__S03__a__S01__mediante_met_complete,0.019,false
transition__S03__a__S02__mediante_met_complete,0.012,false
transition__S03__a__S03__mediante_met_complete,0.013,false
transition__S03__a__S04__mediante_met_complete,0.006,false

