Transition, Time (secs), Satisfiable
blue_transition__S02__a__S03__mediante_met_complete,0.021,true
blue_transition__S02__a__S02__mediante_met_ingestTelemetry,5.567,true
blue_transition__S02__a__S04__mediante_met_ingestTelemetry,5.612,true
blue_transition__S01__a__S02__mediante_met_transferResponsibility,0.043,false
blue_transition__S00__a__S01__mediante_met_constructor,-1.0,false
blue_transition__S00__a__S01__mediante_met_constructor,600.005,false
blue_transition__S01__a__S01__mediante_met_ingestTelemetry,5.774,true
blue_transition__S01__a__S04__mediante_met_ingestTelemetry,6.148,true
blue_transition__S02__a__S02__mediante_met_transferResponsibility,0.037,false

