Transition, Time (secs), Satisfiable
transition__S04__a__S01__mediante_met_ingestTelemetry,0.015,false
transition__S02__a__S01__mediante_met_ingestTelemetry,0.015,false
transition__S00__a__S01__mediante_met_constructor,0.018,true
transition__S04__a__S02__mediante_met_ingestTelemetry,0.023,false
transition__S00__a__S02__mediante_met_constructor,0.02,false
transition__S02__a__S02__mediante_met_ingestTelemetry,0.031,true
transition__S04__a__S03__mediante_met_ingestTelemetry,0.009,false
transition__S00__a__S03__mediante_met_constructor,0.008,false
transition__S02__a__S03__mediante_met_ingestTelemetry,0.0,false
transition__S04__a__S04__mediante_met_ingestTelemetry,0.015,false
transition__S00__a__S04__mediante_met_constructor,0.015,false
transition__S04__a__S01__mediante_met_transferResponsibility,0.01,false
transition__S02__a__S04__mediante_met_ingestTelemetry,0.038,true
transition__S04__a__S02__mediante_met_transferResponsibility,0.013,false
transition__S04__a__S03__mediante_met_transferResponsibility,0.009,false
transition__S01__a__S01__mediante_met_ingestTelemetry,0.031,true
transition__S03__a__S01__mediante_met_ingestTelemetry,0.011,false
transition__S04__a__S04__mediante_met_transferResponsibility,0.011,false
transition__S01__a__S02__mediante_met_ingestTelemetry,0.013,false
transition__S03__a__S02__mediante_met_ingestTelemetry,0.014,false
transition__S04__a__S01__mediante_met_complete,0.01,false
transition__S01__a__S03__mediante_met_ingestTelemetry,0.009,false
transition__S03__a__S03__mediante_met_ingestTelemetry,0.005,false
transition__S04__a__S02__mediante_met_complete,0.017,false
transition__S03__a__S04__mediante_met_ingestTelemetry,0.025,false
transition__S04__a__S03__mediante_met_complete,0.009,false
transition__S01__a__S04__mediante_met_ingestTelemetry,0.034,true
transition__S02__a__S01__mediante_met_transferResponsibility,0.008,false
transition__S04__a__S04__mediante_met_complete,0.005,false
transition__S01__a__S01__mediante_met_transferResponsibility,0.0,false
transition__S02__a__S02__mediante_met_transferResponsibility,0.026,true
transition__S01__a__S02__mediante_met_transferResponsibility,0.032,true
transition__S02__a__S03__mediante_met_transferResponsibility,0.01,false
transition__S01__a__S03__mediante_met_transferResponsibility,0.005,false
transition__S02__a__S04__mediante_met_transferResponsibility,0.0,false
transition__S01__a__S04__mediante_met_transferResponsibility,0.015,false
transition__S03__a__S01__mediante_met_transferResponsibility,0.021,false
transition__S01__a__S01__mediante_met_complete,0.014,false
transition__S03__a__S02__mediante_met_transferResponsibility,0.011,false
transition__S01__a__S02__mediante_met_complete,0.013,false
transition__S03__a__S03__mediante_met_transferResponsibility,0.013,false
transition__S01__a__S03__mediante_met_complete,0.006,false
transition__S03__a__S04__mediante_met_transferResponsibility,0.004,false
transition__S01__a__S04__mediante_met_complete,0.014,false
transition__S02__a__S01__mediante_met_complete,0.022,false
transition__S02__a__S02__mediante_met_complete,0.01,false
transition__S02__a__S03__mediante_met_complete,0.02,true
transition__S02__a__S04__mediante_met_complete,0.016,false
transition__S03__a__S01__mediante_met_complete,0.017,false
transition__S03__a__S02__mediante_met_complete,0.016,false
transition__S03__a__S03__mediante_met_complete,0.02,false
transition__S03__a__S04__mediante_met_complete,0.023,false

